seed,policy,mean_shortfall_bps,std_shortfall_bps,cvar_95_bps,p99_shortfall_bps,worst_shortfall_bps,completion_rate,avg_terminal_inventory,avg_participation_violation_shares,forced_terminal_liquidation_shares
0,TWAP,-0.2970820968126152,103.42800298642425,208.00972508012813,229.90733492163426,276.34225237121086,1.0,0.0,3.0892763403783903,3.0892763403783903
0,VWAP,-0.5774245084392065,90.27572658183966,179.95291150452837,199.96556788523804,238.86987843065913,1.0,0.0,4725.580590144372,4725.580590144372
0,Almgren-Chriss,-0.5772387875428712,101.64527842381781,203.85067203808705,223.90129308240938,269.89519206109753,1.0,0.0,1659.0731393458511,65077.763599220285
0,Recalibrated AC,-0.2847590382082951,99.50303604604565,200.14972507175364,219.86356682439876,263.390421764339,1.0,0.0,0.0,1.6007106751203536e-13
0,Neural Policy,-0.3908499341746622,88.80634219712667,180.12610768593947,191.35202999069313,256.4783842373253,1.0,0.0,2542.1126627416693,19663.313238446153
1,TWAP,1.5114807657823837,92.04742544148823,173.66701124144376,183.4393945733369,225.43972274313015,1.0,0.0,0.0,0.0
1,VWAP,1.905415250327973,80.46629523941093,152.64715222597798,158.44631871732489,195.73355927985844,1.0,0.0,2576.023887230576,2576.023887230576
1,Almgren-Chriss,1.518344771996332,90.30665892644681,170.0165075682397,179.50125077607245,221.46547205764895,1.0,0.0,1629.868424399552,70011.06963803637
1,Recalibrated AC,1.3484386765619738,88.1555683363663,165.23736400513027,175.06130736000955,217.28524920997373,1.0,0.0,0.0,2.0372681319713593e-13
1,Neural Policy,1.6620688380596866,77.4381855100998,146.0932233701728,160.23086448912667,195.2700555407109,1.0,0.0,2145.1749977058357,18771.169857053483
2,TWAP,-12.352158639472444,98.3389740421634,181.05752781656113,203.23431229327113,294.6535827934248,1.0,0.0,0.0,0.0
2,VWAP,-10.28742679859685,86.49143347642283,160.4980667815989,183.13603341027883,258.20204056388076,1.0,0.0,2565.837677027465,2565.837677027465
2,Almgren-Chriss,-12.151414576865234,96.96344983436448,178.655193927567,204.32751437868936,295.23240579955933,1.0,0.0,2114.7753877490572,67024.30763168358
2,Recalibrated AC,-11.847244480711398,94.34985228365875,174.02693339098866,197.54080525150752,281.17703170573304,1.0,0.0,0.0,1.0186340659856796e-13
2,Neural Policy,-10.237605764597749,83.522255956113,154.88382388522257,181.8231914397068,250.48700861982877,1.0,0.0,2013.6152883340285,15522.927790437221
3,TWAP,10.073505997997122,97.34723354594189,203.04755499407014,221.5758362391431,267.53459219381506,1.0,0.0,276.31836442638775,276.31836442638775
3,VWAP,9.70029408612008,85.19743147258228,180.8829633754219,198.60901572373214,243.79901482047677,1.0,0.0,4839.999768082296,4839.999768082296
3,Almgren-Chriss,10.121572622187772,95.65213137641373,200.17798048464272,218.44343463548125,264.3001685155605,1.0,0.0,2703.715196478933,67585.4835280867
3,Recalibrated AC,9.887198695669852,93.63592346258655,195.28497426716552,215.52902202673116,256.24072398321584,1.0,0.0,83.7691914029721,83.76919140297224
3,Neural Policy,10.22514688297358,84.7279600324229,181.64133498110766,206.57941697966106,250.1901927956946,1.0,0.0,3745.1397058561615,19791.847983178715
4,TWAP,5.573334290519673,95.30137514699076,201.06052026058043,230.16013604786235,253.44209675299018,1.0,0.0,63.74735011504928,63.74735011504928
4,VWAP,4.919097964752889,83.68722323906374,176.18918083937245,200.67979704635536,219.60123873951156,1.0,0.0,2873.018142880951,2873.018142880951
4,Almgren-Chriss,5.318762549571031,93.77637366586482,197.37266498241604,226.90325755252212,249.1409058025447,1.0,0.0,1990.45854542494,70454.32655234987
4,Recalibrated AC,5.2238106944670815,91.61742643531569,192.8061199935679,219.33798028676273,245.9367143861896,1.0,0.0,0.0,1.6007106751203536e-13
4,Neural Policy,3.7812987278988723,80.17308412987624,163.03027030948627,181.39814230610685,221.72384169387936,1.0,0.0,1777.5823087006966,16573.256437425454
