training_seed,objective,policy,mean_shortfall_bps,std_shortfall_bps,cvar_95_bps,p99_shortfall_bps,worst_shortfall_bps,completion_rate,avg_terminal_inventory,avg_participation_violation_shares,forced_terminal_liquidation_shares,terminal_inventory_fraction,forced_terminal_liquidation_fraction,participation_violation_fraction_of_parent_order
0,mean_variance,Neural Mean-Variance,-4.675604113868982,70.87272126947296,140.45812518326824,153.27334191927432,200.3527740096133,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,cvar,Neural CVaR,-3.3042639346403933,58.48101082088709,122.03027127274657,135.32344600925921,173.1669496042859,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mean_variance,Neural Mean-Variance,-4.872052057034277,70.77479197640723,139.49105239365264,152.8418956095418,200.0358058132045,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,cvar,Neural CVaR,-3.205133886787318,57.58007619142311,121.06410356477605,132.03745554158974,172.55961528375002,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mean_variance,Neural Mean-Variance,-4.804635682358294,73.08767833742831,144.67547101844374,158.61296543975345,204.59617700805143,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,cvar,Neural CVaR,-3.962500491091974,61.53532464066225,124.71169379675277,138.28824656568943,177.30719084839336,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mean_variance,Neural Mean-Variance,-4.868335765960194,75.4161186948924,149.15209718810178,168.7048891253841,209.23276037051903,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,cvar,Neural CVaR,-3.37651488428627,58.50746883758638,122.1066297357389,135.07721031634156,173.1479642279353,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,mean_variance,Neural Mean-Variance,-4.897325134434312,69.48926804657991,137.19425301882424,150.674344597326,196.98144819084553,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,cvar,Neural CVaR,-3.38011178358823,58.45517838743297,122.00324115396994,134.15107258985626,173.20601472900435,1.0,0.0,0.0,0.0,0.0,0.0,0.0
