seed,policy,mean_shortfall_bps,std_shortfall_bps,cvar_95_bps,p99_shortfall_bps,worst_shortfall_bps,completion_rate,avg_terminal_inventory,avg_participation_violation_shares
0,TWAP,-3.1731977307101613,133.8011124408953,275.6339381889321,296.041489483055,323.3076701543797,1.0,0.0,0.0
0,VWAP,-2.797104106793359,128.114175298328,260.21522363265603,277.09967496482597,304.1252289188802,1.0,0.0,0.0
0,Almgren-Chriss,-3.370482350337885,126.01954530880057,260.66333000181254,280.97965262627724,315.55705565918606,1.0,0.0,0.0
0,Recalibrated AC,-3.400388731080143,123.35070710545696,254.81883214096953,274.7466902707537,311.58055434828066,1.0,0.0,0.0
0,Neural Policy,-5.364680908430358,85.13870639047364,186.50222537926444,204.98367020729737,266.7073684795667,1.0,0.0,0.0
1,TWAP,15.266747599895133,136.7420788817147,284.3756817330956,330.60107923695375,417.1026111588944,1.0,0.0,0.0
1,VWAP,14.411915253532538,130.7398249490394,271.63786870823344,322.5997543853776,399.12969537948817,1.0,0.0,0.0
1,Almgren-Chriss,14.294020987735465,128.5334427794087,266.3586536035615,314.09332580183735,388.08726967893165,1.0,0.0,0.0
1,Recalibrated AC,13.936097123973193,126.05175415419474,262.29225959417056,311.38222824199755,371.4179720444866,1.0,0.0,0.0
1,Neural Policy,7.351137037435465,89.91438492142338,171.04840764681296,199.4235459991093,244.3740688766148,1.0,0.0,0.0
2,TWAP,4.033906176844485,140.99398073669246,284.0639834432801,292.7648018342419,514.3510810681879,1.0,0.0,0.0
2,VWAP,3.560758915257373,136.68176282089917,275.9116402289545,287.14022153471683,486.16365201094,1.0,0.0,0.0
2,Almgren-Chriss,3.7724352077651107,131.79158239637613,263.71789245936435,270.15207194548157,487.92669841374453,1.0,0.0,0.0
2,Recalibrated AC,3.9287997823016796,129.04293822993864,259.4906137060072,265.5171492636244,478.5767536714413,1.0,0.0,0.0
2,Neural Policy,3.015103488651388,81.33098688176587,179.1294114582458,179.04459960961336,345.6393826657385,1.0,0.0,0.0
3,TWAP,3.8065430144813344,131.00707581668516,267.0787284295251,286.74019330315144,428.4460744099319,1.0,0.0,0.0
3,VWAP,3.4508607412500067,125.38779447749044,255.88609087742375,276.1867379786066,404.91002249493266,1.0,0.0,0.0
3,Almgren-Chriss,4.015349041164501,122.79235356140667,251.60256970958272,274.5115473296901,408.6731217836421,1.0,0.0,0.0
3,Recalibrated AC,4.076035653415478,120.31066678703272,246.93008118760812,270.9243682957478,397.56474116751554,1.0,0.0,0.0
3,Neural Policy,6.357863101875387,84.49600300861714,192.6407052285939,249.45491297303226,344.4426464781184,1.0,0.0,0.0
4,TWAP,-9.698410462165965,140.9561491044282,292.2277761704779,355.3689900038463,418.85338257572056,1.0,0.0,0.0
4,VWAP,-8.296159564673081,136.38700535513192,283.55570084938915,337.89434864529386,408.1922367386799,1.0,0.0,0.0
4,Almgren-Chriss,-8.99161895020098,131.64612901499726,275.46557473737175,337.912018328974,392.7960007432308,1.0,0.0,0.0
4,Recalibrated AC,-8.566225924898783,128.54082994544106,268.9010791601318,324.5822456203292,389.2675202995296,1.0,0.0,0.0
4,Neural Policy,-3.2611772550975755,81.90976513995965,180.05976817429993,207.64681351787942,253.75950141329503,1.0,0.0,0.0
